username,ulasan,rating,tanggal
Setiawan Denal,kalau crash terus itu kenapa ya ?,5,2025-11-13 09:52:35
Farel Eriesta,mohon tolong diperbaiki aplikasi nya bang/kak soalnya pas masuk malah force close terus,4,2025-11-13 08:21:29
Endah sri wahyuni,tidak bisa instalasi di hp yang sebelumnya lancar mendadak berhenti,1,2025-11-13 07:41:39
thenita only,sangat membantu jika ingin bepergian dgn kereta api,5,2025-11-13 07:39:40
Fiqri Jabar,ini gimana deh . aplikasinya ga bisa dibukaa .. payah bener,1,2025-11-13 07:23:31
Deni Hamdani,lancar,5,2025-11-13 06:38:56
Heryanto,"aplikasi tidak bisa dibuka, saya klik malah langsung keluar.",1,2025-11-13 06:10:07
delis ratna,dengan kondisi Kereta api sekarang jadi transportasi pavorit☺️,5,2025-11-13 06:01:18
Sukardi Kardi,mantap,5,2025-11-13 05:51:30
Irham Work,Nice,5,2025-11-13 04:58:25
Tonny Kristianto,jadwal kalo bikin itu di komitmen.... krl setiba pukul 11:27 ini berubah jadi 11:35...,1,2025-11-13 04:47:56
Septiyanto Raenaldi,bagus,5,2025-11-13 04:05:12
Tidak ada yang peduli,ini aplikasinya kenapa ya... sangat merugikan. log out tiba-tiba. gimana kalo yang butuh buat kerja sehari hari,1,2025-11-13 03:50:31
Salsabila Zahra Sri Azizah,tolong perbaiki sistemnya soalnya bug terus,3,2025-11-13 03:44:04
ifah ashep,susah daftarnya ribet sekarang,2,2025-11-13 03:42:04
Muhammad Hasan,"Sulit banget komplain aplikasi KAI, mulai dari WA tidak direspon dan Email juga sangat lama. Permasalahan gagal pesan tiket bandara sudah 2 hari selalu muncul pesanan kadaluarsa dan harus pesan ulang. Saya sudah lakukan pesan ulang berkali² dan mencoba login ulang namun tetap aja gagal. Ini admin aplikasinya ga responsip dan kurang maintenance aplikasinya..Payah",1,2025-11-13 03:40:52
Alwan Farouq,sering eror,1,2025-11-13 03:38:04
alia alisa,kenpa punya ku sering gangguan / eror skrng kalo di buka aplikasi nya mental terus. keluar sendiri padhl aku udah lama pake kai access ini,1,2025-11-13 03:34:53
Muhamad Arifin,setiap mau beli tiket kok keluarr2 terus jadi ga bisa2 makin aneh kok kesininya,1,2025-11-13 03:28:09
aisyah tama,tidak bisa buka aplikasi,1,2025-11-13 03:28:08
budi susantiono,"sebelumnya sangat membantu aplikasi ini,sejak update tidak bisa digunakan,tolong diperbaiki",4,2025-11-13 03:25:57
333,woi ini aplikasi sering banget eror bisa ga sih di bagusin lagi kualitasnya,1,2025-11-13 03:05:22
Chie Nenk,sy senang mempunyai aplikasi Accessby KAI ini krn mempermudah buat perjalanan sy dengan naik kereta.yg terjangkau harga tiket ny. mdh2an k dpn nya lebih baik lg tmksh.,5,2025-11-13 03:04:41
akhsan muhammad,"cannot booking more than 6 booking perday, fak baru juga sekali",1,2025-11-13 03:03:58
Yuniar Karmila,aplikasi ga jelas terus aja we logout sendiri mau pesen tiket aja susah nya minta ampun,2,2025-11-13 02:59:27
RENDY arya,log out log out sendiri gk jelas. keluar aplikasi sendiri....bikin emosi,1,2025-11-13 02:35:10
danang widayato,lebih mudah pakai kai access,5,2025-11-13 02:30:31
epu 1987,eror terusssss,1,2025-11-13 02:30:17
Gilang Raka,"Habis Di Update Mala Force Close , Pdahal Spek Hp Standar , Perbaiki Sya Pengguna Layanan Tiket Online , Ngandelin Offline Gak Jelas",2,2025-11-13 02:21:15
andromeda andi,aplikasi yg sangat membantu kemudahan pengguna jasa kereta api Indonesia di.mana setiap periode ada tambahan menu di aplikasi ini,5,2025-11-13 02:11:07
Baharazka iqbal,aplikasi ngebug force closed di mi max 3,1,2025-11-13 01:56:17
Erik Besali,kenapa kai acces saya keluar sendiri,2,2025-11-13 01:38:03
Bagas Opie,ini gmna sih KAI? setiap buka selalu saja force close sendiri aplikasinya. perbaiki dong!,1,2025-11-13 01:29:12
PUTRA SEBAYU,sangat puas,5,2025-11-13 01:24:06
Jepri,"sudah pesan tiket, tetapi saat hari h aplikasi selalu force close, sangat menyusahkan. tolong diperbaiki",1,2025-11-13 01:12:32
Reivano Arian,Aplikasi selalu force close,1,2025-11-13 01:11:53
Nana Rodagila,aplikasi nya ngebug parah,1,2025-11-13 01:10:30
akhina nisa,"pertama penggunaan memang bagus,tapi untuk penggunaan selanjutnya Kendalanya besar dan menyulitkan sekali,saat ingin pemesanan selalu keluar sendiri selalu seperti itu.",1,2025-11-13 01:10:05
rizal muhammad,sering trobel,1,2025-11-13 01:04:18
Budi Budiman,"kumat lagi, baru masuk langsung FC lagi. apalagi untuk andorid versi lama.",4,2025-11-13 00:47:39
Sopian Uyan,sudah bagus tp selalu keluar sendri.,1,2025-11-13 00:35:21
Muhammad Luthfi,"aplikasi di hp xiaomi force close, mohon di bantu, udah di coba di hp yg lain juga force close",2,2025-11-13 00:35:18
Fahry Abdillah Rahman (Rahman),"kenapa pas di update jadi force close terus ya, tolong min di perbaiki lagi .. terima kasih",4,2025-11-13 00:32:58
Agus Setiadi,sangat membantu,5,2025-11-13 00:22:18
pratiwi laima,"jelek, ngehang, error tanpa jelas. app yg unrekomen. habisin data, uninstal ttp aja error",1,2025-11-12 23:52:44
guntur astono,aplikasi sering nutup sendiri waktu awal membuka,2,2025-11-12 23:49:39
Abadi Ridhwan,hallo kai acces knpa sering logout sendirinya ya.. padahal ssya sangat membutuhkan aplikasi ini untuk pesen tiket kai.. thanks.,1,2025-11-12 23:48:15
YB Budi Waluyo,layanan bagus,5,2025-11-12 23:38:48
Bayu Setiyadi,"aplikasi rusakkk terhenti, bikin rugii",1,2025-11-12 23:33:15
Melita Sir,"Akun sering loh out sendiri, sering mengalami galat pemesanan tiket",1,2025-11-12 23:31:31
Tirnojo Rejodiharjo,"iklan di tampilan depan memberatkan aplikasi hingga aplikasi gak bisa dibuka, mohon menjadi perhatian.",1,2025-11-12 23:29:42
Workshop Tukangsolo,apk slalu keluar sendiri tiba2,1,2025-11-12 23:21:06
Ran Suraya,"tetiba ndak bisa dibuka pas mau scan barcode, mana waktu mepet lagi😪",1,2025-11-12 23:07:42
Zoya Afliyana,tidak bisa di akses...sudah boking tiket,1,2025-11-12 23:03:22
lita qopshoh,kenapa aplikasi saya tiba tiba tidak bisa dibuka saya terlanjur sudah beli tiket dan sekarang aplikasi saya tidak bisa dibuka,1,2025-11-12 22:55:29
dragunovich Dragun,Update terbaru sering force closed,1,2025-11-12 22:48:46
Widodo 24,kecewa aplikasi ga bisa di buka,2,2025-11-12 22:43:07
Agung Hidayat,"gimana sih aplikasi kai tiap hari saya pulang pergi kerja pakai kereta biasanya lancar kai access nya ehh udah 2hari ga bisa d pakai error terus kai access nya,tolong kasih impormasi kalau lagi error..",1,2025-11-12 22:40:40
Wijayanto Subekti,"diupdate kok malah ga bisa beli tiket...login pun ga bisa masuk langsung keluar otomatis , diinstal ulang juga sama. ga ada mending nya....😅😅😅😅",1,2025-11-12 22:33:57
Dhimas Salman Hakim,"Hai dev Feedback sebelum dan sesudah update. Sebagai pengguna kaic lokal beberapa kali saya memesan tiket lewat kaic karena kemudahan pemesanannya dari jarak jauh dan pembayaran yang simpel melalui qris sangat membantu saya tapi setelah di-update dan menginstal ulang ada kendala bug ketika menunggu pembayaran dan mencari jadwal kereta log-out berulang kali, saya tidak berpengalaman terkait Dev sebuah apps mohon pertimbangkan kembali untuk melihat respond update yang krg puas untuk androidkentang",3,2025-11-12 22:32:33
Cha Hasan,"min, kenapa saat saya buka aplikasi ini langsung logout sendiri. jadi ga bisa pesan tiket nih. padahal ini aplikasi yg selalu dipakai untuk pesan tiket kereta.",3,2025-11-12 22:31:03
Emigustianti Gunawan,aplikasi nya mudah dan sangat membantu.,5,2025-11-12 22:23:58
Adib Burhanudin,"cmon aplikasi pemerintah mau sampe kapan kaya gini trus, udh 2025 server malah ga jelas, kdang force close, sblum di update ga gini deh, gimna mau bayar whoosh 🤣",1,2025-11-12 22:03:20
anak sekolah,keluar muli,1,2025-11-12 21:53:02
Novrinta Rizka,aplikasi fore closed trs udah dicoba di 2 hp padahal,1,2025-11-12 21:52:31
catur pinardi,kaa acces gak bisa di akses nih keluar sendiri terus mana mau war tiket liburan tolong perbaiki,2,2025-11-12 21:11:37
Muammar Qaddafi,"Force Close mulu, pak Didik di cek napa anak buahnya iseng banget, diapain lagi sih aplikasinya kenapa setelah pertanggal 12 November 2025 di update makin banyak Errornya aplikasi si Access ini?",1,2025-11-12 21:06:41
Dira Karunia,aplikasi yang sangat membantu pengguna transportasi kereta api,5,2025-11-12 21:05:50
Gadis Novitasari,"setelah di update tiap mau buka ga bisa terus, padahal saya tiap hari pke aplikasi ini. tolong di bantu ya",4,2025-11-12 21:04:51
Anita Nurchaety,"kenapa sering bug padahal sinyal bagus ,parah bgt tiap hari hrs di update,sekelas KAI masa gini amat sih",1,2025-11-12 20:30:21
Kholidin (OTONG MERCH),force close,1,2025-11-12 20:23:28
Febri Pratama,"ini aplikasi kenapa lagi ini mau login aja gak bisa, makin ke sini makin ke sana kualitas aplikasinya",1,2025-11-12 19:16:51
Fazhar Hamdhany,"ini aplikasi kenapa sih, error keluar2 terus. jd gk bisa pesen tiket ini. udh coba uninstall dan install ulang aplikasi ny sama aja gitu terus.",1,2025-11-12 18:44:35
Dede Wahyuchin,keluar terus dari aplikasi padahal udah di upgrade,1,2025-11-12 17:56:51
Habibie M,cape cape begadang biasa langganan pakai bengawan stiap bulan kali ini saya kecewa dari yang awal nya kursi banyak smpe sisa 20 smpe abis saya ga di acc terus di suruh canot get seat... pleas try Again!! gitu terus 😭 itu apalah saya ga ngerti bisa ga jangan pakai bahasa inggris ini indonesia kreta api bengawan juga subsidi buat rakyat indonesia bukan buat orang inggris. jdi ga smua orang indonesia ngrti bahasa inggris. saya jadi gagal ketmu anak anak di kampung karna gagal terus nge war tiket.,1,2025-11-12 17:39:51
Daniel Dwi Mulyawan,kok sering keluar sendiri baru milih stasiun...payah udah gag update.....harusnya update lah aplikasi KAI sendiri...ada jeda 10 detik saat tiket muncul,1,2025-11-12 17:32:14
Rony,sangat membantu dan memudahkan untuk pesan tiket kereta api,5,2025-11-12 17:21:53
Rio ardi,ini knp sekarang sering log out sendiri?,3,2025-11-12 17:14:56
Rifki Ramadan,aplikasi tiba-tiba eror gak tau sebabnya apa dan kenapa. saya jadi harus uninstall dan install ulang,3,2025-11-12 16:44:05
Abdhy Rayatman,"ini kenapa ya aplikasi KAI jadi lemot kayak gini, diminta daftar akun basic, kode otp udah dikirim ke email pas dimasukin gak bisa dilanjut, terus kenapa sekarang harus daftar akun basic kalo mau pesan tiket? sementara pas masukan otp tidak bisa dilanjutkan daftar, ini saya mau pesan tiket untuk berangkat besok jadi terhambat, tolong diperbaiki aplikasinya",1,2025-11-12 16:43:31
Fahmi smaz543,log out terus ini apk kenapa....??? mau beli tiket jadi susah.,3,2025-11-12 16:40:22
Dhani Kirman,aplikasinya diperbaiki tuh,1,2025-11-12 16:11:37
Iffah Kamilah,"saya baru download, kenapa ya tiba-tiba keluar aplikasi sendiri. kan jadi males buka aplikasinya",2,2025-11-12 16:03:10
ALEX GEMING,"terlalu buruk ,setiap masuk di suruh keluar paksa ,udh update tp tetap sama",1,2025-11-12 15:50:41
Pandji Widjanarko,tambah maju sesuai expetasi pelanggan,5,2025-11-12 15:39:03
Ronipatina sarani,KAI kenapa gangguan atw apa keluar terus apliaksi nya,1,2025-11-12 15:17:19
irwan abdi esa,good job,5,2025-11-12 15:13:29
indra jaya,"kenapa force close terus ya,padahal sudah beberapa kali di uninstal dan sudah versi terbaru. tolong diperbaiki min...",4,2025-11-12 14:51:30
Arselia Wori Hana,"heran mengapa aku setiap buka app nya tidak bisa, udah di coba uninstall trus download lagi tetap aja",3,2025-11-12 14:47:35
Dhiya Zulafa,haduh ini kenapa forced close terus sih,3,2025-11-12 14:45:45
matchalatee 14,oke,5,2025-11-12 14:42:24
Ranti Yunidar,"aplikasinya buruk, cek jadwal krl tidak pernah akurat.",1,2025-11-12 14:40:45
Syahrul Pebriyanto,tolong pak/ibu kenapah saya buka aplikasi kai nya keluar sendiri terus tolong di bantu iya pak/ibu,5,2025-11-12 14:36:59
RAHMAT HAJALI,"di perbaharui bukan makin bener makin ngga bener,..",1,2025-11-12 14:34:48
Rizqi indria Pamesti,"aplikasi nya gajelas, baru mau masukin lokasi tujuan tapi tbtb keluar sendiri dari apk gitu terus berulang²",1,2025-11-12 14:20:48
Atep Rohidin,setelah update jadi aplikasi terus berhenti,3,2025-11-12 13:58:46
Rahmi Agustin S,"kuota lancar, penyimpanan lumayan banyak, tapi kenapa aplikasi suka keluar sendiriiiii???",1,2025-11-12 13:55:14
PblcEnemyNo1,tolong diperbaiki aplikasi sering crash/force close setelah update,1,2025-11-12 13:50:33
Sehan,oke,5,2025-11-12 12:54:12
Edy Wijayanto,error nga bisa di buka,2,2025-11-12 12:53:49
calon murid,apk tidak bisa dibuka tolong perbaiki,3,2025-11-12 12:39:24
Taufiq Hidayat,baik,5,2025-11-12 12:31:52
Gintama,"setelah di update, jadi tidak bisa memilih tanggal keberangkatan, dan sekarang malah 'crash' melulu, tolong diperhatikanlah kami konsumen",1,2025-11-12 12:27:20
pamungkas beben,memudahkan,5,2025-11-12 12:17:43
Pristi Agung,"APLIKASI ERROR, BULAN NOVEMBER 2025",1,2025-11-12 12:17:26
ratnawati salamun,"3hari ini di Kertosono ,Blitar kok susah di buka ya",3,2025-11-12 12:14:36
Heriyanto Obing,erorr ni sudah 2 hari tidak bisa akses,2,2025-11-12 12:14:31
Lisa Beth,kenapa ngk bisa di buka,1,2025-11-12 12:09:27
Mahendra Jaya,apk tidak bisa dibuka,1,2025-11-12 12:03:35
A muba,kenapa ga bisa dibuka?,1,2025-11-12 11:29:38
Hisyam karso,terbaik,5,2025-11-12 11:23:59
Mujiono Muji,Aplikasi sangat membantu dan efektif,5,2025-11-12 11:21:01
Yayat Saeful Hayat,"Sangat membantu sekali, ko jadi sering eror ya susah d buka.",5,2025-11-12 11:17:56
PRANDIKA DAFARIZ ARTA,"ga bisa bayar tiket via qris, kocak qris ga mau muncul",1,2025-11-12 11:11:54
Zulfaaliyah,apa baru ya kok ak g bisa dibuka lagi,3,2025-11-12 11:07:09
hendro sisiliano,12/11 aplikasi kai tidak bisa di akses?,4,2025-11-12 11:03:24
Oden Nasty,good,5,2025-11-12 10:59:42
Arief Sasongko,puas,5,2025-11-12 10:58:24
Satria Sinurat,Aplikasi Meresahkan,1,2025-11-12 10:54:43
Rossy Kusindratmo,mau verifikasi jadi member basic aja susah. OTP udah masuk tp tiap kali di input tetep balik ke akun belum terverifikasi. mau beli tiket jadi susah.,1,2025-11-12 10:42:46
Bonyol Sport,"sering force close, tolong di perbaiki",1,2025-11-12 10:27:36
Eko Prianggono,untuk aplikasi tolong kalau bisa OS jangan pake 8.0 kami yang pake android jadul OS 7.2 gak bisa akses..... ayolah jangan mempersulit pelanggan setia KAI,2,2025-11-12 10:18:13
Yuli Anti sodli,"harga yang paling murah yang aku dapat yaitu di aplikasi ini, tapi tlong di upgrade lagi masak gak bisa cancel dan ubah jadwal, untuk ap fitur itu kalo gak bisa di gunakan semestinya. tolong di perbaiki, karna nggak semua orang rumahnya dekat dengan stasiun jadi kalo semisal mau ubah jadwal dan pembatalan gak bisa lwat aplikasi ya mending gk usah di kasih fitur itu.",3,2025-11-12 09:59:58
Rico Herdatama,akun tiba tiba log out sendiri pas mau pesen tiket malah suruh upgrade member basic lagi padahal sudah daftar member basic tapi pas di coba upgrage gagal terus. aneeeh,1,2025-11-12 09:55:15
Bambang Aliza,saya sudah lama menggunakan aplikasi ini sekarang entah tau kenapa setiap mau pesan tiket logout aplikasi sudah diperbaharui tetap logout sampai saya ga kehabisan tiket beli di loket stasion tidak bisa harus pake aplikasi bagaimana ini pihak terkait pt kai saya tidak bisa tentang masalah ini,5,2025-11-12 09:31:10
Taufik Nurhadiansyah,ok,5,2025-11-12 09:29:57
Durika Intan A,Sangat burukk.. baru aja login masa terus logout2 sendiri,1,2025-11-12 09:28:03
Danni Syah (Danni Syah),Sekarang Kai lebih baik. Aplikasinya juga lebih baik.,5,2025-11-12 09:20:45
Moch Arifudi,mantabb,5,2025-11-12 09:16:54
Revan Mumpuni oke,ga bisa di buka auto keluar tereus,1,2025-11-12 08:51:32
fajar adhilla,"aplikasi crash, gak bisa kebuka, padahal sbelumnya selalu pesan tiket disini",2,2025-11-12 08:14:49
Sulaiman Siri,bagus bagt layanannya,5,2025-11-12 07:30:25
Gold shape,well,4,2025-11-12 06:51:52
khujangna sukirman79,Mantap,5,2025-11-12 06:44:38
Evi Wulan,kok gak bisa dibuka ya? masih ada tiket yg belum boarding....,5,2025-11-12 06:16:58
Evangelin Zahra Siti Fedora,bagus,5,2025-11-12 05:53:50
Suud At-Tasdiq,mantap,5,2025-11-12 05:20:43
Arni Suwarni,mohon sewaktu2 kalo mau pesan lancarkan ya,5,2025-11-12 03:03:23
Fatih Rosian,aku udah pesen malah apk nya ga bisa di buka trus mau pulang bingung,1,2025-11-12 02:02:56
supriyadi madinah,good,5,2025-11-12 00:57:31
irfan doank,kenpa aplikasinya tidak bisa dibuka,2,2025-11-12 00:55:47
Jaka Wahyudi,sangat membantu saya,5,2025-11-11 23:04:47
agung,"Saya sudah 15 tahun lebih pengguna aplikasi Kereta ini, namun sejak awal Nov2025 kalau saya membuka Aplikasi Access KAI tidak bisa di refresh juga gagal. Kemudian saya hapus apkikasinya, saya install baru dan bisa dipakai. Namun sehari kemudian kembali tidak bisa dipakai. Apa karena Hp saya sudah lama, Samsung A50. Mohon diperbaiki.... apalagi saya kemarin beli tiket berangkat ke Solo buat Natalan berhasil, lha ini pulangnya cari tiket malah aplikasinya ngadat. Terimakasih🙏",5,2025-11-11 21:33:35
Abdulloh Puteh,"aplikasi mau di gunakan error , sudah masuk aplikasi langsung keluar lg",4,2025-11-11 18:23:53
Dika setiawan,"sudah ga mau lagi naik kereta, memang waktu ini kesalahan saya yg tidak memperhatikan NIK saya, tapi kenapa di cs pun untuk mengedit hanya bisa 1x sudah jelas nomer hp saya, akun email saya juga ada, nama juga nama saya, di cetak bisa, kesalahan di NIK karena tombol cepat memilih menjadi penumpang saya jadi tidak bisa naik kereta, dan sekarang pekerjaan saya terancam...!!!!",1,2025-11-11 16:22:32
Irzi Chandra Al Barkah,Tolong kasih diskon harga yang murah disemua tujuan buat yang pemula dan saya masih bingung dengan cara pesannya terimakasih🙏,5,2025-11-11 16:10:31
bagus krimum,mantappp,5,2025-11-11 14:54:22
Arsyil Majid,ngebug terus knp ya,2,2025-11-11 14:44:48
Irawan F. Butarbutar,good,5,2025-11-11 14:02:09
NUR ALIFAH,appk sangat membantu tapi suka eror klu pas mau d pakai hrs d instal ulang lg,5,2025-11-11 13:36:43
Surahman Rahman,cukup baik pelayanan dari KAI.,5,2025-11-11 13:21:40
Syaiful Mujab,kenapa sekarang tidak bisa pesan lebih dari 4 orang,5,2025-11-11 13:19:27
Mochamad Soni R,aplikasi sering eror,1,2025-11-11 13:02:51
Mokhamad Irfan,mudah untuk mencari tiket perjalanan,5,2025-11-11 12:45:31
Ade Hidayat,mantap,5,2025-11-11 12:26:52
Bagus Arifin,"respon adminnya lama bukannya direspon, malah ngaktifin fitur chat bot hingga spam ketika masuk dalam antrean cs",1,2025-11-11 12:19:05
Nopi Andriyani,favorite,5,2025-11-11 11:18:24
Ashfia Zulaikha Shidqia,"tranportasi kebanggaan keluarga Indonesia yg selalu memberikan kenyamanan keluarga,sukses terus KAI kuuuu",5,2025-11-11 10:39:48
Lia Nisa,nyaman,5,2025-11-11 09:25:59
abdurrahman al fakhriy,istimewa 😍,5,2025-11-11 09:04:00
Wisnu harahap,sangat membantu,5,2025-11-11 08:51:56
Tri Mandata,sangat membantu untuk info perjalanan menggunakan kereta api,5,2025-11-11 08:33:56
Alvan,good,5,2025-11-11 08:22:40
"Su'udi Al Mukarom, ST",ok,5,2025-11-11 08:01:16
Suhardi Ongko,sangat Bagus,5,2025-11-11 07:17:12
Wahyu Laila _Merpati7,Harusnya kalau mau kayak pesawat g boleh bawa ikan aturannya di sistem KAI itu di sistem aplikasi dikasih tau g haya di stasiun dikasih keterangan. Kecewa g bisa naik gara gara mbawa ikan dan tiket hangus tidak bisa di refund. tolong lebih bijak dalam membuat kebijakan. kami sudah sangat mengerti dengan ikan yang kami bawa dan tidak akan menganggu penumpang lain namun keputusan tidak bijak dan tidak bisa memberikan solusi. padahal hanya transportasi darat buka transportasi udara.,1,2025-11-11 07:15:24
haris hidayat,mudah praktis cepat,5,2025-11-11 06:59:21
Elga Nugraha,"jd susah di akses,tidak semua hp bisa pake kai access tolong perbaiki layanan",1,2025-11-11 06:12:33
Sriaty Pasaribu,kok gak bisa dibuka,3,2025-11-11 05:10:55
Jamaluddin Ramdani Panjaitan,bagus,5,2025-11-11 05:06:52
Tania Nuruhayati,good,5,2025-11-11 05:00:23
Gendut 0637 (teguh ndhut),mantap,5,2025-11-11 04:54:15
Seli nopianti,ini gimna ya tiba2 apk nya nggk bisa di buka .. trus pesen tiket nya harus ke loket lagi 🙂‍↔️,2,2025-11-11 04:52:51
Siti Muntamah,"kenapa udh 3 hari ini apalikasi tdk merespon ,",4,2025-11-11 04:44:04
Ajay Deevghan,good,5,2025-11-11 04:26:34
Williams Berlin,"customer service lambat (nunggu beberapa jam) , ui membingungkan, sulit utk pendaftaran penumpang anak anak tanpa KTP",1,2025-11-11 04:02:49
luzen tira,"beberapa hari ini saya tidak bisa buka KAI access , padahal sudah di update di playstore , kesusahan si kalo gada KAI access karna tiapinggu pasti pakai",3,2025-11-11 03:16:33
agus nugroho,aplikasi sangat membantu....gak ribet pasti aman dan nyaman,4,2025-11-11 03:12:21
prana eriyanto,"KAI , solusi pesan kereta api zaman now ..",5,2025-11-11 01:11:30
Riwan Setiarso,"Aplikasinya sangat berguna, namun ada kendala saat dibuka dari One UI 8.0 android 16. Aplikasi selalu mati paksa, apa ada pembaharuan lagi?",4,2025-11-11 00:47:03
Bombong Adhi,oke,5,2025-11-10 23:52:24
B MochThoha,Aplikasi cacat. kurup aja semua.,1,2025-11-10 23:29:34
Wuri Handayani,keren,5,2025-11-10 23:28:33
Iwan Prasetiyo,bagus,5,2025-11-10 22:42:24
isma wati,ditingkatkan pelayannnya lagi,5,2025-11-10 21:34:49
Tatang Somantri,bgus,2,2025-11-10 19:27:18
awal supriyono,ok bgt,5,2025-11-10 18:18:41
Arfa Arfa24,Top markptop..,5,2025-11-10 18:18:20
Abdul Aziz,"hari baru di buka tiket, Buka aplikasi jam 12 malam. Bengawan 9 gerbong langsung habis. entah permainan atau real. jika real mestinya di tambahkan lagi armadanya,. kalo kereta mahal saya rasa tidak kekurangan kursi. ekonomi yg harus di perbanyak",1,2025-11-10 17:14:18
Laras Alfawwaz,good,5,2025-11-10 15:20:44
Jenggot tipis,"bug terus ga bisa dibuka, udah uninstall tetap aja ga bisa dibuka lagi",1,2025-11-10 14:26:40
Sutris Sutris,sangat terbantu beli tiket kereta,5,2025-11-10 13:33:54
Adhista Iskandar,"pesan tiket via KAI Access begitu mudah, praktis, effisien",5,2025-11-10 13:26:20
Idul Manafa Damai,"Moda andalan untuk mudik, praktis dan ramah anak",5,2025-11-10 13:20:37
Dzivanna Leticianavisha,kenapa g bisa dibukak...,3,2025-11-10 13:00:10
Eka Budiharjo,aplikasinya setelah update malah error gak bisa dibuka. sepertinya perlu ganti HP beserta aplikasi KAI access nya.,1,2025-11-10 12:55:51
Pin Wdr04,"gila baanget nunggu sejam ga jelas di gerbong, kasi tau kek troublenya di apa, kan jadi telat kerjaan, astaghfirullah ga jelas, sukses deh",1,2025-11-10 12:51:42
Taufik Taufik,kenapa aplikasinya ngga bisa di buka? sering error,5,2025-11-10 12:32:18
Safrudin Cou10,"apk nya eror , tidak bisa di access, minta tolong di perbaiki, terimakasih.",3,2025-11-10 12:29:55
Beta Photography,Kaipay lama masuknya,3,2025-11-10 11:43:41
Istianatun Nida,ditambah lg kereta subsidinya,4,2025-11-10 11:23:17
Adzaghi Putri02,sangat bermanfaat,5,2025-11-10 07:36:19
Rosikin Rosikin,pesan tiket jadi mudah,5,2025-11-10 07:28:46
Fazar Maulana,kenapa ga bisa daftar dan kode OTP tida terkirim² teruss🥲,2,2025-11-10 06:41:24
aa doang,bagus,5,2025-11-10 05:34:05
Heni Rohaeni,ok,5,2025-11-10 05:14:26
Wong Samar,"aplikasi ancur,ga profesial.habis daftar mau upgrade basic aja ga bisa verifikasi lewat emal.ada tanda seru merah ga ada tulisan apa"".tolong,aplikasi nya di kerjakan oleh orang yang kompeten",1,2025-11-10 05:09:05
Dinni millatin Hanifah,"daftar nya susah, masuk nya lama, pesen nya butuh verifikasi luamaa, kenapa ga di upgrade lagi sih aplikasi nya? pasti adaaa aja kendala, saluran bantuan nya juga GA GUNA, ga bisa bantu apa"" ga ngasih solusi sama sekali, kalo ga butuh pun ga mungkin aku ngechat saluran bantuan nya duluan 😏",1,2025-11-10 04:51:32
Luluk Chusnawati,KAI jalur transportasi yg memang terdepan,5,2025-11-10 04:33:44
Angki Irawan,mantap.,5,2025-11-10 04:27:21
Rian Suhaeli,"Booking gagal, terus tiba2. Gak bisa booking lagi. aplikasi apa sih ini, makin jelek 😡",1,2025-11-10 04:14:48
Hayu Femi,kenapa aplikasi saya tidak bisa di buka setelah sy merubah jadwal perjalanan....sy sudah bayar lunas tapi aplikasi TDK bisa d buka,5,2025-11-10 04:03:29
Budi Haryanto,sangat puas,5,2025-11-10 03:49:36
Aruna Ardiansyah,"jelek kali apk ny banyak bug forclose, login aj dipersulit apa coba",1,2025-11-10 03:41:51
Husein Latief,informatif dan mudah,5,2025-11-10 03:17:29
andi syahputra,sangat baik,5,2025-11-10 03:17:23
Markusanda Rambe,mudah dab cepat,5,2025-11-10 03:09:48
Surya Sunaryo,ternyata sangat mudah byr tiket kai lewat ovo,5,2025-11-10 03:08:49
Lina,saya pengguna aplikasi ini udh lama. Tapi kenapa skr2 ini mau buka aplikasi aja kok ga bisa ya. Mau pesan buat tgl 25 Desember tp ga bisa kebuka aplikasinya. Kenapa ya..???,4,2025-11-10 03:04:30
Adianan,ini kai access sy gak bisa dibuka knp ya?dari kemarin hp saya tidak bisa buka aplikasi ini,1,2025-11-10 02:44:06
Bayu Anggoro,sangat membantu,5,2025-11-10 02:25:09
saqiya ainil,mudah digunakan,5,2025-11-10 01:46:59
NUNING ASIH ASTUTI,saya sdh pakai aplikasi ini lama setiap pergi naik kereta sll.pakai aplikasi ini krn sangat membantu..tapi kenapa aplikasi ini barusan saya update malah eror gk bisa dibuka..tlg bisa ditingkatkan pelayanan terbaik dari KAI,5,2025-11-10 01:39:08
Abdullah Mubaroq,lu yang bener woy upgrade basic gak bisa mulu,1,2025-11-10 01:38:45
Jirdan Maulana ibrahim,"dari kemarin apk nya ga bisa dipake , keluar sendiri terus.... aku uninstall dlu ,tp tetep aja ...padahal tiap hari aku beli tiket ,mana saldo masih ada...",3,2025-11-10 01:13:10
ely lestari,sejauh ini berfungsi,5,2025-11-10 01:11:40
Ory Bagus Rudyanto,good jobs,5,2025-11-10 00:11:17
Nurzakiyyah Rizqy Kurnia,"maintenance terus, tiap isi saldo kepotong besar👎",1,2025-11-10 00:07:47
Enca Hmm,"aplikasi telah berhenti, tolong bantuannya terimakasih,",5,2025-11-09 23:59:16
